id,question,answer
cso_q1,Is 'engineering drawing' a type of 'drawing %28graphics%29'?,Yes
cso_q2,Is 'multichip modules' a type of 'electronics packaging'?,Yes
cso_q3,Is 'indoor positioning' a type of 'location-based service'?,Yes
cso_q4,Is 'decryption keys' a type of 'cryptography'?,Yes
cso_q5,Is 'loss reduction' a type of 'distribution systems'?,Yes
cso_q6,Is 'beam pattern' a type of 'beamforming'?,Yes
cso_q7,Is 'neural network' a type of 'machine learning algorithms'?,Yes
cso_q8,Is 'reconstruction quality' a type of 'signal reconstruction'?,Yes
cso_q9,Is 'formal specifications' a type of 'formal method'?,Yes
cso_q10,Is 'acoustic waves' a type of 'acoustics'?,Yes
cso_q11,Is 'local optimal solution' a type of 'pso algorithm'?,Yes
cso_q12,Is 'supervector' a type of 'support vector machines %28svms%29'?,Yes
cso_q13,Is 'proportional integral derivative controllers' a type of 'pi controller'?,Yes
cso_q14,Is 'content-based retrieval' a type of 'multimedia systems'?,Yes
cso_q15,Is 'coding gains' a type of 'image coding'?,Yes
cso_q16,Is 'sink mobility' a type of 'mobile sinks'?,Yes
cso_q17,Is 'positioning technologies' a type of 'location-based services'?,Yes
cso_q18,Is 'distributed localization' a type of 'localization errors'?,Yes
cso_q19,Is 'high-dimensional data' a type of 'clustering techniques'?,Yes
cso_q20,Is 'aspect oriented software development' a type of 'crosscutting concerns'?,Yes
cso_q21,Is 'base station cooperation' a type of 'cellular network'?,Yes
cso_q22,Is 'optical signal processing' a type of 'optical materials'?,Yes
cso_q23,Is 'band-notched' a type of 'frequency bands'?,Yes
cso_q24,Is 'prototyping' a type of 'software development process'?,Yes
cso_q25,Is 'interferometric synthetic aperture radars' a type of 'synthetic apertures'?,Yes
cso_q26,Is 'wsn' a type of 'routing algorithms'?,Yes
cso_q27,Is 'fault tolerant routing' a type of 'network architecture'?,Yes
cso_q28,Is 'speech compression' a type of 'data compression'?,Yes
cso_q29,Is 'communication models' a type of 'information theory'?,Yes
cso_q30,Is 'information system architecture' a type of 'system architecture'?,Yes
cso_q31,Is 'analytic signals' a type of 'hilbert transform'?,Yes
cso_q32,Is 'queuing model' a type of 'queuing network'?,Yes
cso_q33,Is 'sliding mode' a type of 'adaptive control'?,Yes
cso_q34,Is 'heterogeneous wireless sensor networks' a type of 'sensor networks'?,Yes
cso_q35,Is 'inference algorithm' a type of 'inference engines'?,Yes
cso_q36,Is 'latent variable' a type of 'regression analysis'?,Yes
