id,answer
pleiades_q1,yes
pleiades_q2,yes
pleiades_q3,yes
pleiades_q4,yes
pleiades_q5,yes
pleiades_q6,yes
pleiades_q7,yes
pleiades_q8,yes
pleiades_q9,yes
pleiades_q10,yes
pleiades_q11,yes
pleiades_q12,yes
pleiades_q13,yes
pleiades_q14,yes
pleiades_q15,yes
pleiades_q16,yes
pleiades_q17,yes
pleiades_q18,yes
pleiades_q19,yes
pleiades_q20,yes
pleiades_q21,yes
pleiades_q22,yes
pleiades_q23,yes
pleiades_q24,yes
pleiades_q25,yes
pleiades_q26,yes
pleiades_q27,yes
pleiades_q28,yes
pleiades_q29,yes
pleiades_q30,yes
pleiades_q31,yes
pleiades_q32,yes
pleiades_q33,yes
pleiades_q34,yes
pleiades_q35,yes
pleiades_q36,yes
pleiades_q37,yes
pleiades_q38,yes
pleiades_q39,yes
pleiades_q40,yes
pleiades_q41,yes
pleiades_q42,yes
pleiades_q43,yes
pleiades_q44,yes
pleiades_q45,yes
pleiades_q46,yes
pleiades_q47,yes
pleiades_q48,yes
pleiades_q49,yes
pleiades_q50,yes
pleiades_q51,yes
pleiades_q52,yes
pleiades_q53,yes
pleiades_q54,yes
pleiades_q55,yes
pleiades_q56,yes
pleiades_q57,yes
pleiades_q58,yes
pleiades_q59,yes
pleiades_q60,yes
pleiades_q61,yes
pleiades_q62,yes
pleiades_q63,yes
pleiades_q64,yes
pleiades_q65,yes
pleiades_q66,yes
pleiades_q67,yes
pleiades_q68,yes
pleiades_q69,yes
pleiades_q70,yes
pleiades_q71,yes
pleiades_q72,yes
pleiades_q73,yes
pleiades_q74,yes
pleiades_q75,yes
pleiades_q76,yes
pleiades_q77,yes
pleiades_q78,yes
pleiades_q79,yes
pleiades_q80,yes
pleiades_q81,yes
pleiades_q82,yes
pleiades_q83,yes
pleiades_q84,yes
pleiades_q85,yes
pleiades_q86,yes
pleiades_q87,yes
pleiades_q88,yes
pleiades_q89,yes
pleiades_q90,yes
pleiades_q91,yes
pleiades_q92,yes
pleiades_q93,yes
pleiades_q94,yes
pleiades_q95,yes
pleiades_q96,yes
pleiades_q97,yes
pleiades_q98,yes
pleiades_q99,yes
pleiades_q100,yes
