id,answer
cso_q1,yes
cso_q2,yes
cso_q3,yes
cso_q4,yes
cso_q5,yes
cso_q6,yes
cso_q7,yes
cso_q8,yes
cso_q9,yes
cso_q10,yes
cso_q11,yes
cso_q12,yes
cso_q13,yes
cso_q14,yes
cso_q15,yes
cso_q16,yes
cso_q17,yes
cso_q18,yes
cso_q19,yes
cso_q20,yes
cso_q21,yes
cso_q22,yes
cso_q23,yes
cso_q24,yes
cso_q25,yes
cso_q26,yes
cso_q27,yes
cso_q28,yes
cso_q29,yes
cso_q30,yes
cso_q31,yes
cso_q32,yes
cso_q33,yes
cso_q34,yes
cso_q35,yes
cso_q36,yes
cso_q37,yes
cso_q38,yes
cso_q39,yes
cso_q40,yes
cso_q41,yes
cso_q42,yes
cso_q43,yes
cso_q44,yes
cso_q45,yes
cso_q46,yes
cso_q47,yes
cso_q48,yes
cso_q49,yes
cso_q50,yes
cso_q51,no
cso_q52,no
cso_q53,no
cso_q54,no
cso_q55,no
cso_q56,no
cso_q57,no
cso_q58,no
cso_q59,no
cso_q60,no
cso_q61,no
cso_q62,no
cso_q63,no
cso_q64,no
cso_q65,no
cso_q66,no
cso_q67,no
cso_q68,no
cso_q69,no
cso_q70,no
cso_q71,no
cso_q72,no
cso_q73,no
cso_q74,no
cso_q75,no
cso_q76,no
cso_q77,no
cso_q78,no
cso_q79,no
cso_q80,no
cso_q81,no
cso_q82,no
cso_q83,no
cso_q84,no
cso_q85,no
cso_q86,no
cso_q87,no
cso_q88,no
cso_q89,no
cso_q90,no
cso_q91,no
cso_q92,no
cso_q93,no
cso_q94,no
cso_q95,no
cso_q96,no
cso_q97,no
cso_q98,no
cso_q99,no
cso_q100,no
