id,question,answer
rxnorm_q1,Is 'Chemical Viewed Structurally' a type of 'Entity'?,Yes
rxnorm_q2,"Is 'Amino Acid, Peptide, or Protein' a type of 'Physical Object'?",Yes
rxnorm_q3,Is 'Cell or Molecular Dysfunction' a type of 'Event'?,Yes
rxnorm_q4,Is 'Cell or Molecular Dysfunction' a type of 'Event'?,Yes
rxnorm_q5,Is 'Vertebrate' a type of 'Entity'?,Yes
rxnorm_q6,Is 'Chemical Viewed Functionally' a type of 'Entity'?,Yes
rxnorm_q7,Is 'Bird' a type of 'Physical Object'?,Yes
rxnorm_q8,Is 'Reptile' a type of 'Organism'?,Yes
rxnorm_q9,Is 'Drug Delivery Device' a type of 'Entity'?,Yes
rxnorm_q10,Is 'Plant' a type of 'Entity'?,Yes
rxnorm_q11,Is 'Neoplastic Process' a type of 'Phenomenon or Process'?,Yes
rxnorm_q12,Is 'Pharmacologic Substance' a type of 'Physical Object'?,Yes
rxnorm_q13,Is 'Tissue' a type of 'Entity'?,Yes
rxnorm_q14,Is 'Acquired Abnormality' a type of 'Entity'?,Yes
rxnorm_q15,Is 'Cell or Molecular Dysfunction' a type of 'Phenomenon or Process'?,Yes
rxnorm_q16,"Is 'Element, Ion, or Isotope' a type of 'Entity'?",Yes
rxnorm_q17,Is 'Organism Function' a type of 'Event'?,Yes
rxnorm_q18,Is 'Pharmacologic Substance' a type of 'Entity'?,Yes
rxnorm_q19,Is 'Neoplastic Process' a type of 'Natural Phenomenon or Process'?,Yes
rxnorm_q20,Is 'Immunologic Factor' a type of 'Substance'?,Yes
rxnorm_q21,Is 'Reptile' a type of 'Physical Object'?,Yes
rxnorm_q22,Is 'Genetic Function' a type of 'Phenomenon or Process'?,Yes
rxnorm_q23,Is 'Laboratory Procedure' a type of 'Event'?,Yes
rxnorm_q24,Is 'Biomedical or Dental Material' a type of 'Entity'?,Yes
rxnorm_q25,Is 'Bird' a type of 'Physical Object'?,Yes
rxnorm_q26,Is 'Gene or Genome' a type of 'Entity'?,Yes
rxnorm_q27,Is 'Reptile' a type of 'Entity'?,Yes
rxnorm_q28,Is 'Mammal' a type of 'Entity'?,Yes
rxnorm_q29,Is 'Cell or Molecular Dysfunction' a type of 'Phenomenon or Process'?,Yes
rxnorm_q30,Is 'Neoplastic Process' a type of 'Event'?,Yes
rxnorm_q31,Is 'Fish' a type of 'Entity'?,Yes
rxnorm_q32,Is 'Body System' a type of 'Entity'?,Yes
rxnorm_q33,Is 'Mental Process' a type of 'Event'?,Yes
rxnorm_q34,Is 'Reptile' a type of 'Physical Object'?,Yes
rxnorm_q35,Is 'Reptile' a type of 'Physical Object'?,Yes
rxnorm_q36,Is 'Animal' a type of 'Entity'?,Yes
rxnorm_q37,Is 'Organism Function' a type of 'Phenomenon or Process'?,Yes
rxnorm_q38,Is 'Geographic Area' a type of 'Entity'?,Yes
rxnorm_q39,"Is 'Indicator, Reagent, or Diagnostic Aid' a type of 'Entity'?",Yes
rxnorm_q40,Is 'Tissue' a type of 'Entity'?,Yes
rxnorm_q41,Is 'Animal' a type of 'Entity'?,Yes
rxnorm_q42,Is 'Pharmacologic Substance' a type of 'Physical Object'?,Yes
rxnorm_q43,"Is 'Indicator, Reagent, or Diagnostic Aid' a type of 'Physical Object'?",Yes
rxnorm_q44,Is 'Vitamin' a type of 'Physical Object'?,Yes
rxnorm_q45,Is 'Fish' a type of 'Physical Object'?,Yes
rxnorm_q46,Is 'Laboratory Procedure' a type of 'Event'?,Yes
rxnorm_q47,"Is 'Nucleic Acid, Nucleoside, or Nucleotide' a type of 'Entity'?",Yes
rxnorm_q48,Is 'Organism Function' a type of 'Phenomenon or Process'?,Yes
rxnorm_q49,"Is 'Nucleic Acid, Nucleoside, or Nucleotide' a type of 'Entity'?",Yes
rxnorm_q50,Is 'Cell or Molecular Dysfunction' a type of 'Phenomenon or Process'?,Yes
rxnorm_q51,Is 'Molecular Function' a type of 'Medical Device'?,No
rxnorm_q52,"Is 'Occupation or Discipline' a type of 'Element, Ion, or Isotope'?",No
rxnorm_q53,Is 'Quantitative Concept' a type of 'Disease or Syndrome'?,No
rxnorm_q54,Is 'Organ or Tissue Function' a type of 'Cell'?,No
rxnorm_q55,Is 'Qualitative Concept' a type of 'Cell'?,No
rxnorm_q56,Is 'Chemical' a type of 'Body Space or Junction'?,No
rxnorm_q57,Is 'Classification' a type of 'Bacterium'?,No
rxnorm_q58,Is 'Drug Delivery Device' a type of 'Eukaryote'?,No
rxnorm_q59,Is 'Pharmacologic Substance' a type of 'Animal'?,No
rxnorm_q60,Is 'Mammal' a type of 'Cell'?,No
rxnorm_q61,Is 'Geographic Area' a type of 'Mental or Behavioral Dysfunction'?,No
rxnorm_q62,Is 'Event' a type of 'Physical Object'?,No
rxnorm_q63,Is 'Biomedical Occupation or Discipline' a type of 'Health Care Related Organization'?,No
rxnorm_q64,Is 'Amphibian' a type of 'Cell or Molecular Dysfunction'?,No
rxnorm_q65,Is 'Hormone' a type of 'Organism'?,No
rxnorm_q66,Is 'Pathologic Function' a type of 'Laboratory or Test Result'?,No
rxnorm_q67,Is 'Biologically Active Substance' a type of 'Medical Device'?,No
rxnorm_q68,Is 'Cell Function' a type of 'Language'?,No
rxnorm_q69,Is 'Entity' a type of 'Organism Attribute'?,No
rxnorm_q70,Is 'Cell Component' a type of 'Biologically Active Substance'?,No
