id,answer
pleiades_q1,yes
pleiades_q2,yes
pleiades_q3,yes
pleiades_q4,yes
pleiades_q5,yes
pleiades_q6,yes
pleiades_q7,yes
pleiades_q8,yes
pleiades_q9,yes
pleiades_q10,yes
pleiades_q11,yes
pleiades_q12,yes
pleiades_q13,yes
pleiades_q14,yes
pleiades_q15,yes
pleiades_q16,yes
pleiades_q17,yes
pleiades_q18,yes
pleiades_q19,yes
pleiades_q20,yes
pleiades_q21,yes
pleiades_q22,yes
pleiades_q23,yes
pleiades_q24,yes
pleiades_q25,yes
pleiades_q26,yes
pleiades_q27,yes
pleiades_q28,yes
pleiades_q29,yes
pleiades_q30,yes
pleiades_q31,yes
pleiades_q32,yes
pleiades_q33,yes
pleiades_q34,yes
pleiades_q35,yes
pleiades_q36,yes
pleiades_q37,yes
pleiades_q38,yes
pleiades_q39,yes
pleiades_q40,yes
pleiades_q41,yes
pleiades_q42,yes
pleiades_q43,yes
pleiades_q44,yes
pleiades_q45,yes
pleiades_q46,yes
pleiades_q47,yes
pleiades_q48,yes
pleiades_q49,yes
pleiades_q50,yes
