id,question
cso_q1,Is 'motion planning' contributes To 'bilateral control'?
cso_q2,Is 'physical layer' label 'physical layer@en .'?
cso_q3,Is 'statistical analysis' contributes To 'spatial correlation'?
cso_q4,Is 'speech transmission' type 'Topic'?
cso_q5,Is 'human computer interaction' contributes To 'interactive digital tv'?
cso_q6,Is 'markov decision process' contributes To 'probabilistic systems'?
cso_q7,Is 'optimal systems' contributes To 'candidate solution'?
cso_q8,Is 'teaching%2Flearning strategies' preferential Equivalent 'teaching%2Flearning strategies'?
cso_q9,Is 'public key certificates' type 'Topic'?
cso_q10,Is 'computer-aided design' contributes To 'three dimensional computer graphics'?
cso_q11,Is 'monolithic microwave integrated circuits' type 'Topic'?
cso_q12,Is 'multiple attribute decision making' related Equivalent 'multiple attribute decision making %28madm%29'?
cso_q13,Is 'segmentation algorithms' contributes To 'object segmentation'?
cso_q14,Is 'stable model semantics' related Equivalent 'stable model'?
cso_q15,Is 'embedded technology' type 'Topic'?
cso_q16,Is 'photonic integrations' label 'photonic integrations@en .'?
cso_q17,Is 'preconditioned conjugate gradient method' label 'preconditioned conjugate gradient method@en .'?
cso_q18,Is 'sensors' contributes To 'ultra-wideband'?
cso_q19,Is 'mobile telecommunication systems' contributes To 'quality of service routing'?
cso_q20,Is 'fiber bragg gratings' same As 'Q1397391'?
cso_q21,Is 'known environments' label 'known environments@en .'?
cso_q22,Is 'wireless sensor network %28wsns%29' contributes To 'ad-hoc networks'?
cso_q23,Is 'multicast protocols' related Equivalent 'multicast transmissions'?
cso_q24,Is 'ontology building' label 'ontology building@en .'?
cso_q25,Is 'electronic commerce' contributes To 'marketing strategy'?
cso_q26,Is 'image edge detection' same As 'Q1513153'?
cso_q27,Is 'adaptive neuro-fuzzy inference system' contributes To 'anfis'?
cso_q28,Is 'fiber laser' same As 'm.0c8nsd'?
cso_q29,Is 'rbac' related Equivalent 'role-based access control %28rbac%29'?
cso_q30,Is 'graphic methods' contributes To 'minimum degree'?
cso_q31,Is 'expression recognition' same As 'm.01506s'?
cso_q32,Is 'image compression' contributes To 'rate control'?
cso_q33,Is 'wireless telecommunication systems' contributes To 'frequency selective fading'?
cso_q34,Is 'atomic clocks' type 'Topic'?
cso_q35,Is 'analog filters' type 'Topic'?
cso_q36,Is 'information system' contributes To 'ajax'?
cso_q37,Is 'taxonomy' contributes To 'type strain'?
cso_q38,Is 'bit error rate' contributes To 'impulse radios'?
cso_q39,Is 'transmittance' related Link '115816120'?
cso_q40,Is 'wimax' same As 'm.02dl1f'?
cso_q41,Is 'mobile applications' type 'Topic'?
cso_q42,Is 'secret sharing schemes' related Equivalent 'secret sharing scheme'?
