id,question,answer
cso_q1,Is 'spreading codes' a type of 'signal to noise ratio'?,Yes
cso_q2,Is 'speech transmission' a type of 'computer system'?,Yes
cso_q3,Is 'antenna reflectors' a type of 'telecommunication systems'?,Yes
cso_q4,Is 'reference architecture' a type of 'computer science'?,Yes
cso_q5,Is 'spindle speed' a type of 'cad'?,Yes
cso_q6,Is 'baum-welch algorithm' a type of 'mathematics'?,Yes
cso_q7,Is 'permanent faults' a type of 'computer systems'?,Yes
cso_q8,Is 'secret sharing scheme' a type of 'cryptology'?,Yes
cso_q9,Is 'error rate %28er%29' a type of 'database'?,Yes
cso_q10,Is 'grating' a type of 'machine learnings'?,Yes
cso_q11,Is 'periodic arrays' a type of 'computer networks'?,Yes
cso_q12,Is 'semiconductor optical amplifier' a type of 'sensors'?,Yes
cso_q13,Is 'ica algorithms' a type of 'computational linguistics'?,Yes
cso_q14,Is 'tamper detection' a type of 'computer security'?,Yes
cso_q15,Is 'rfid' a type of 'computer imaging and vision'?,Yes
cso_q16,Is 'anomaly detection methods' a type of 'computer security'?,Yes
cso_q17,Is 'face recognition performance' a type of 'computer imaging and vision'?,Yes
cso_q18,Is 'ppm' a type of 'communication systems'?,Yes
cso_q19,Is 'multimodal dialogue systems' a type of 'computer science'?,Yes
cso_q20,Is 'rule based reasoning' a type of 'computer science'?,Yes
cso_q21,Is 'triphones' a type of 'database systems'?,Yes
cso_q22,Is 'model based testing' a type of 'microprocessor chips'?,Yes
cso_q23,Is 'border gateway protocol %28bgp%29' a type of 'computer system'?,Yes
cso_q24,Is 'small sample size problems' a type of 'computer imaging and vision'?,Yes
cso_q25,Is 'fuzzy partition' a type of 'computer science'?,Yes
cso_q26,Is 'media access control %28mac%29' a type of 'computer systems'?,Yes
cso_q27,Is 'huffman' a type of 'image analysis'?,Yes
cso_q28,Is 'low jitters' a type of 'computer science'?,Yes
cso_q29,Is 'binoculars' a type of 'computer imaging and vision'?,Yes
cso_q30,Is 'ieee 802.16' a type of 'computer science'?,Yes
cso_q31,Is 'photoacoustic imaging' a type of 'matrix algebra'?,Yes
cso_q32,Is 'ordinary differential equations' a type of 'mathematics'?,Yes
