id,answer
rxnorm_q1,yes
rxnorm_q2,yes
rxnorm_q3,yes
rxnorm_q4,yes
rxnorm_q5,yes
rxnorm_q6,yes
rxnorm_q7,yes
rxnorm_q8,yes
rxnorm_q9,yes
rxnorm_q10,yes
rxnorm_q11,yes
rxnorm_q12,yes
rxnorm_q13,yes
rxnorm_q14,yes
rxnorm_q15,yes
rxnorm_q16,yes
rxnorm_q17,yes
rxnorm_q18,yes
rxnorm_q19,yes
rxnorm_q20,yes
rxnorm_q21,yes
rxnorm_q22,yes
rxnorm_q23,yes
rxnorm_q24,yes
rxnorm_q25,yes
rxnorm_q26,yes
rxnorm_q27,yes
rxnorm_q28,yes
rxnorm_q29,yes
rxnorm_q30,yes
rxnorm_q31,yes
rxnorm_q32,yes
rxnorm_q33,yes
rxnorm_q34,yes
rxnorm_q35,yes
rxnorm_q36,yes
rxnorm_q37,yes
rxnorm_q38,yes
rxnorm_q39,yes
rxnorm_q40,yes
rxnorm_q41,yes
rxnorm_q42,yes
rxnorm_q43,yes
rxnorm_q44,yes
rxnorm_q45,yes
rxnorm_q46,yes
rxnorm_q47,yes
rxnorm_q48,yes
rxnorm_q49,yes
rxnorm_q50,yes
rxnorm_q51,yes
rxnorm_q52,yes
rxnorm_q53,yes
rxnorm_q54,yes
rxnorm_q55,yes
rxnorm_q56,yes
rxnorm_q57,yes
rxnorm_q58,yes
rxnorm_q59,yes
rxnorm_q60,yes
rxnorm_q61,yes
rxnorm_q62,yes
rxnorm_q63,yes
rxnorm_q64,yes
rxnorm_q65,yes
rxnorm_q66,yes
rxnorm_q67,yes
rxnorm_q68,yes
rxnorm_q69,yes
rxnorm_q70,yes
rxnorm_q71,yes
rxnorm_q72,yes
rxnorm_q73,yes
rxnorm_q74,yes
rxnorm_q75,yes
rxnorm_q76,yes
rxnorm_q77,yes
rxnorm_q78,yes
rxnorm_q79,yes
rxnorm_q80,yes
rxnorm_q81,yes
rxnorm_q82,yes
rxnorm_q83,yes
rxnorm_q84,yes
rxnorm_q85,yes
rxnorm_q86,yes
rxnorm_q87,yes
rxnorm_q88,yes
rxnorm_q89,yes
rxnorm_q90,yes
rxnorm_q91,yes
rxnorm_q92,yes
rxnorm_q93,yes
rxnorm_q94,yes
rxnorm_q95,yes
rxnorm_q96,yes
rxnorm_q97,yes
rxnorm_q98,yes
rxnorm_q99,yes
rxnorm_q100,yes
