id,question
rxnorm_q57,Is 'Classification' a type of 'Bacterium'?
cso_q21,Is 'triphones' a type of 'database systems'?
fma_q92,Is 'Inferior angle of right scapula' a type of 'Lobule of sebaceous gland'?
rxnorm_q19,Is 'Neoplastic Process' a type of 'Natural Phenomenon or Process'?
pleiades_q49,Is 'Sakala' a type of 'Pserimos (island)'?
rxnorm_q80,"Is 'Element, Ion, or Isotope' a type of 'Pharmacologic Substance'?"
pleiades_q42,Is 'Forum of Mactaris' a type of 'Sarapionos Chairemonos'?
fma_q84,Is 'Set of fimbriae of hippocampus' a type of 'Systemic capillary bed'?
fma_q83,Is 'Left ureteral orifice' a type of 'Intervertebral disk of fifth thoracic vertebra'?
fma_q71,Is 'Brodmann area 24 of right cingulate gyrus' a type of 'Medial cord segment of C8 root of left medial antebrachial cutaneous nerve'?
rxnorm_q38,Is 'Geographic Area' a type of 'Entity'?
cso_q75,Is 'kalman filter algorithms' a type of 'neural-symbolic integration'?
rxnorm_q78,Is 'Machine Activity' a type of 'Pharmacologic Substance'?
fma_q56,Is 'Vasculature of left ring finger' a type of 'Groove for left third rib'?
cso_q45,Is 'rate distortion theory' a type of 'computer imaging and vision'?
fma_q59,Is 'Cartilage of left superior surface of posterolateral part of body of fourth thoracic vertebra' a type of 'Inferoposterior lobule of prostate'?
cso_q85,Is 'snmp' a type of 'hybrid recommendation'?
fma_q34,Is 'Trunk of branch of right anterior choroidal artery to red nucleus' a type of 'Systemic arterial trunk'?
fma_q94,Is 'Costal groove of lobe of lung' a type of 'Transverse branch of meningeal branch of left sixth thoracic nerve'?
rxnorm_q63,Is 'Biomedical Occupation or Discipline' a type of 'Health Care Related Organization'?
rxnorm_q7,Is 'Bird' a type of 'Physical Object'?
cso_q83,Is 'morphological filter' a type of 'ant systems'?
rxnorm_q86,Is 'Experimental Model of Disease' a type of 'Reptile'?
pleiades_q32,Is 'Bir Madkhur' a type of 'Thagaste'?
fma_q60,Is 'Umbilical fold' a type of 'Compact bone of posterolateral part of body of fourth lumbar vertebra'?
cso_q60,Is 'software frameworks' a type of 'frequency control'?
cso_q57,Is 'doherty power amplifier' a type of 'understandability'?
rxnorm_q3,Is 'Cell or Molecular Dysfunction' a type of 'Event'?
