id,answer
cso_q1,yes
cso_q2,yes
cso_q3,yes
cso_q4,yes
cso_q5,yes
cso_q6,yes
cso_q7,yes
cso_q8,yes
cso_q9,yes
cso_q10,yes
cso_q11,yes
cso_q12,yes
cso_q13,yes
cso_q14,yes
cso_q15,yes
cso_q16,yes
cso_q17,yes
cso_q18,yes
cso_q19,yes
cso_q20,yes
cso_q21,yes
cso_q22,yes
cso_q23,no
cso_q24,yes
cso_q25,yes
cso_q26,yes
cso_q27,yes
cso_q28,yes
cso_q29,yes
cso_q30,yes
cso_q31,yes
cso_q32,yes
cso_q33,yes
cso_q34,yes
cso_q35,yes
cso_q36,yes
cso_q37,yes
cso_q38,yes
cso_q39,yes
cso_q40,yes
cso_q41,yes
cso_q42,yes
cso_q43,yes
cso_q44,yes
cso_q45,yes
cso_q46,yes
cso_q47,yes
cso_q48,yes
cso_q49,yes
cso_q50,yes
cso_q51,yes
cso_q52,yes
cso_q53,yes
cso_q54,yes
cso_q55,yes
cso_q56,yes
cso_q57,yes
cso_q58,yes
cso_q59,yes
cso_q60,yes
cso_q61,yes
cso_q62,yes
cso_q63,yes
cso_q64,yes
cso_q65,yes
cso_q66,yes
cso_q67,yes
cso_q68,yes
cso_q69,yes
cso_q70,yes
cso_q71,yes
cso_q72,yes
cso_q73,yes
cso_q74,yes
cso_q75,yes
cso_q76,yes
cso_q77,yes
cso_q78,yes
cso_q79,yes
cso_q80,yes
cso_q81,yes
cso_q82,yes
cso_q83,yes
cso_q84,yes
cso_q85,yes
cso_q86,yes
cso_q87,yes
cso_q88,yes
cso_q89,yes
cso_q90,yes
cso_q91,yes
cso_q92,yes
cso_q93,yes
cso_q94,yes
cso_q95,yes
cso_q96,yes
cso_q97,yes
cso_q98,yes
cso_q99,yes
cso_q100,yes
