id,question
cso_q1,Is 'spreading codes' a type of 'signal to noise ratio'?
cso_q2,Is 'speech transmission' a type of 'computer system'?
cso_q3,Is 'antenna reflectors' a type of 'telecommunication systems'?
cso_q4,Is 'reference architecture' a type of 'computer science'?
cso_q5,Is 'spindle speed' a type of 'cad'?
cso_q6,Is 'baum-welch algorithm' a type of 'mathematics'?
cso_q7,Is 'permanent faults' a type of 'computer systems'?
cso_q8,Is 'secret sharing scheme' a type of 'cryptology'?
cso_q9,Is 'error rate %28er%29' a type of 'database'?
cso_q10,Is 'grating' a type of 'machine learnings'?
cso_q11,Is 'periodic arrays' a type of 'computer networks'?
cso_q12,Is 'semiconductor optical amplifier' a type of 'sensors'?
cso_q13,Is 'ica algorithms' a type of 'computational linguistics'?
cso_q14,Is 'tamper detection' a type of 'computer security'?
cso_q15,Is 'rfid' a type of 'computer imaging and vision'?
cso_q16,Is 'anomaly detection methods' a type of 'computer security'?
cso_q17,Is 'face recognition performance' a type of 'computer imaging and vision'?
cso_q18,Is 'ppm' a type of 'communication systems'?
cso_q19,Is 'multimodal dialogue systems' a type of 'computer science'?
cso_q20,Is 'rule based reasoning' a type of 'computer science'?
cso_q21,Is 'triphones' a type of 'database systems'?
cso_q22,Is 'model based testing' a type of 'microprocessor chips'?
cso_q23,Is 'border gateway protocol %28bgp%29' a type of 'computer system'?
cso_q24,Is 'small sample size problems' a type of 'computer imaging and vision'?
cso_q25,Is 'fuzzy partition' a type of 'computer science'?
cso_q26,Is 'media access control %28mac%29' a type of 'computer systems'?
cso_q27,Is 'huffman' a type of 'image analysis'?
cso_q28,Is 'low jitters' a type of 'computer science'?
cso_q29,Is 'binoculars' a type of 'computer imaging and vision'?
cso_q30,Is 'ieee 802.16' a type of 'computer science'?
cso_q31,Is 'photoacoustic imaging' a type of 'matrix algebra'?
cso_q32,Is 'ordinary differential equations' a type of 'mathematics'?
cso_q33,Is 'dynamic bayesian networks' a type of 'computer system'?
cso_q34,Is 'asian continental ancestry group' a type of 'computer science'?
cso_q35,Is 'broadcasting' a type of 'computer system'?
cso_q36,Is 'wavelet analysis' a type of 'computer science'?
cso_q37,Is 'high resolution image' a type of 'computer science'?
cso_q38,Is 'architecture knowledge exploiting' a type of 'computer science'?
cso_q39,Is 'registration accuracy' a type of 'computer science'?
cso_q40,Is 'exact solution' a type of 'mathematics'?
cso_q41,Is 'timing jitter' a type of 'computer science'?
cso_q42,Is 'smart phone' a type of 'computer communication networks'?
cso_q43,Is 'mammograms' a type of 'computer imaging and vision'?
cso_q44,Is 'lmi approach' a type of 'mathematics'?
cso_q45,Is 'rate distortion theory' a type of 'computer imaging and vision'?
