id,answer
pleiades_q1,no
pleiades_q2,no
pleiades_q3,no
pleiades_q4,no
pleiades_q5,no
pleiades_q6,no
pleiades_q7,no
pleiades_q8,no
pleiades_q9,no
pleiades_q10,no
pleiades_q11,no
pleiades_q12,no
pleiades_q13,no
pleiades_q14,no
pleiades_q15,no
pleiades_q16,no
pleiades_q17,no
pleiades_q18,no
pleiades_q19,no
pleiades_q20,no
pleiades_q21,no
pleiades_q22,no
pleiades_q23,no
pleiades_q24,no
pleiades_q25,no
pleiades_q26,no
pleiades_q27,no
pleiades_q28,no
pleiades_q29,no
pleiades_q30,no
pleiades_q31,no
pleiades_q32,no
pleiades_q33,no
pleiades_q34,no
pleiades_q35,no
pleiades_q36,no
pleiades_q37,no
pleiades_q38,no
pleiades_q39,no
pleiades_q40,no
pleiades_q41,no
pleiades_q42,no
pleiades_q43,no
pleiades_q44,no
pleiades_q45,no
pleiades_q46,no
pleiades_q47,no
pleiades_q48,no
pleiades_q49,no
pleiades_q50,no
