id,question
pleiades_q1,Is 'Tagrus (mountain)' a type of 'mountain'?
pleiades_q2,"Is 'Zeus Ainesios, T.' a type of 'temple-2'?"
pleiades_q3,Is 'Sládkovičovo' a type of 'cemetery'?
pleiades_q4,Is 'Amaravati' a type of 'settlement'?
pleiades_q5,Is 'Antium' a type of 'port'?
pleiades_q6,Is 'Ision M.' a type of 'unlocated'?
pleiades_q7,Is 'Montagna del Bosco' a type of 'fort'?
pleiades_q8,Is 'Varcia' a type of 'settlement-modern'?
pleiades_q9,Is 'Fundus Aeschinianus' a type of 'unlocated'?
pleiades_q10,Is 'Peritas' a type of 'settlement'?
pleiades_q11,Is 'Radani (river)' a type of 'river'?
pleiades_q12,Is 'Large Theater' a type of 'theatre'?
pleiades_q13,Is 'Baranduz tepe' a type of 'settlement'?
pleiades_q14,Is 'Saraceno di Favara' a type of 'villa'?
pleiades_q15,Is 'Beberaci L.' a type of 'lake'?
pleiades_q16,Is 'Balagaia' a type of 'unlocated'?
pleiades_q17,Is 'Turris Rutunda' a type of 'villa'?
pleiades_q18,Is 'Hylai' a type of 'settlement'?
pleiades_q19,Is 'Sukhumskaya Gora' a type of 'settlement'?
pleiades_q20,Is 'Unnamed iron mine' a type of 'mine-2'?
pleiades_q21,Is 'Iar Kome' a type of 'unlocated'?
pleiades_q22,Is 'Gedranitae?' a type of 'people'?
pleiades_q23,Is 'Winterton' a type of 'villa'?
pleiades_q24,Is 'Temple of Apollo' a type of 'temple-2'?
pleiades_q25,Is 'Künzing Roman amphitheater' a type of 'amphitheatre'?
pleiades_q26,Is 'Palace of Ashurbanipal' a type of 'architecturalcomplex'?
pleiades_q27,Is 'Crown Prince's Palace at Assur' a type of 'palace'?
pleiades_q28,Is 'Adrion (mountain)' a type of 'mountain'?
pleiades_q29,Is 'Treoua' a type of 'unlocated'?
pleiades_q30,Is 'Aithikia' a type of 'region'?
pleiades_q31,Is 'Nemantourista' a type of 'unlocated'?
pleiades_q32,Is 'Aggersel?' a type of 'settlement'?
pleiades_q33,Is 'Olteni' a type of 'fort'?
pleiades_q34,Is 'Libba' a type of 'settlement'?
pleiades_q35,Is 'Orsum' a type of 'settlement'?
pleiades_q36,Is 'Darna' a type of 'unlocated'?
pleiades_q37,Is 'el Gahra' a type of 'fort'?
pleiades_q38,Is 'Funerary Grove of Epikrates and Tomb Garden of Tertia and Secundus at Nakrason' a type of 'tomb'?
pleiades_q39,Is 'Panormos (Chalkidiki)' a type of 'settlement-modern'?
pleiades_q40,Is 'Rhebas (river)' a type of 'river'?
pleiades_q41,Is 'Paliopyrgos tower' a type of 'tower-single'?
pleiades_q42,Is 'Tell Zubeidi' a type of 'tell'?
pleiades_q43,Is 'Methone (Pieria)' a type of 'agora'?
pleiades_q44,Is 'Lacus pastorum' a type of 'fountain'?
pleiades_q45,Is 'Resava' a type of 'settlement'?
pleiades_q46,Is 'Ubinnaca' a type of 'station'?
pleiades_q47,Is 'Titane' a type of 'acropolis'?
pleiades_q48,Is 'Santa Venera al Pozzo' a type of 'bath'?
pleiades_q49,Is 'Handere bridge' a type of 'bridge'?
pleiades_q50,Is 'Marchevo' a type of 'fort'?
pleiades_q51,Is 'Roman amphitheater at Thibiuca' a type of 'tell'?
pleiades_q52,Is 'Pons Tirenus' a type of 'odeon'?
