id,answer
pleiades_q1,yes
pleiades_q2,yes
pleiades_q3,yes
pleiades_q4,yes
pleiades_q5,yes
pleiades_q6,yes
pleiades_q7,yes
pleiades_q8,yes
pleiades_q9,yes
pleiades_q10,yes
pleiades_q11,yes
pleiades_q12,yes
pleiades_q13,yes
pleiades_q14,yes
pleiades_q15,yes
pleiades_q16,yes
pleiades_q17,yes
pleiades_q18,yes
pleiades_q19,yes
pleiades_q20,yes
pleiades_q21,yes
pleiades_q22,yes
pleiades_q23,yes
pleiades_q24,yes
pleiades_q25,yes
pleiades_q26,yes
pleiades_q27,no
pleiades_q28,yes
pleiades_q29,yes
pleiades_q30,yes
pleiades_q31,yes
pleiades_q32,yes
pleiades_q33,yes
pleiades_q34,yes
pleiades_q35,yes
pleiades_q36,yes
pleiades_q37,yes
pleiades_q38,yes
pleiades_q39,yes
pleiades_q40,yes
pleiades_q41,yes
pleiades_q42,yes
pleiades_q43,yes
pleiades_q44,yes
pleiades_q45,yes
pleiades_q46,yes
pleiades_q47,yes
pleiades_q48,yes
pleiades_q49,yes
pleiades_q50,yes
pleiades_q51,no
pleiades_q52,no
pleiades_q53,no
pleiades_q54,no
pleiades_q55,no
pleiades_q56,no
pleiades_q57,no
pleiades_q58,no
pleiades_q59,no
pleiades_q60,no
pleiades_q61,no
pleiades_q62,no
pleiades_q63,no
pleiades_q64,no
pleiades_q65,no
pleiades_q66,no
pleiades_q67,no
pleiades_q68,no
pleiades_q69,no
pleiades_q70,no
pleiades_q71,no
pleiades_q72,no
pleiades_q73,no
pleiades_q74,no
pleiades_q75,no
pleiades_q76,no
pleiades_q77,no
pleiades_q78,no
pleiades_q79,no
pleiades_q80,no
pleiades_q81,no
pleiades_q82,no
pleiades_q83,no
pleiades_q84,no
pleiades_q85,no
pleiades_q86,no
pleiades_q87,no
pleiades_q88,no
pleiades_q89,no
pleiades_q90,no
pleiades_q91,no
pleiades_q92,no
pleiades_q93,no
pleiades_q94,no
pleiades_q95,no
pleiades_q96,no
pleiades_q97,no
pleiades_q98,no
pleiades_q99,no
pleiades_q100,no
