id,question
fma_q1,Is 'Articular branch of left seventh intercostal nerve' preferred name 'Articular branch of left seventh intercostal nerve'?
fma_q2,Is 'Right apical segmental bronchial vein' Obsolete 'False'?
fma_q3,Is 'Posterior surface of upper lobe of lung' FMAID '18167'?
fma_q4,Is 'Left middle thyroid vein' FMAID '50825'?
fma_q5,Is 'Superior anastomotic vein' http://data.bioontology.org/metadata/prefix IRI 'fma:fma51238'?
fma_q6,Is 'Column of posterior wall of vagina' non English equivalent 'Columnae rugarum posterior'?
fma_q7,Is 'Hair follicle' http://data.bioontology.org/metadata/prefix IRI 'fma:fma70660'?
fma_q8,Is 'Set of perihypoglossal nuclei' http://data.bioontology.org/metadata/prefix IRI 'fma:fma77768'?
fma_q9,Is 'Posterior cecal artery' Synonyms 'Posterior caecal artery'?
fma_q10,Is 'Skin of medial part of middle finger' Obsolete 'False'?
fma_q11,Is 'Trunk of superior gluteal nerve' preferred name 'Trunk of superior gluteal nerve'?
fma_q12,Is 'Distal zone of lateral pterygoid' Obsolete 'False'?
fma_q13,Is 'Mesial contact surface layer of third lower molar tooth' http://data.bioontology.org/metadata/prefix IRI 'fma:fma57001'?
fma_q14,Is 'Deep white layer of right superior colliculus' Obsolete 'False'?
fma_q15,Is 'Set of subclavian lymphatic vessels' http://data.bioontology.org/metadata/prefix IRI 'fma:fma233428'?
fma_q16,Is 'Capillary network of muscle organ' FMAID '280939'?
fma_q17,Is 'Intestinal lymphatic trunk proper' http://data.bioontology.org/metadata/prefix IRI 'fma:fma277225'?
fma_q18,Is 'Compact bone of proximal epiphysis of right radius' http://data.bioontology.org/metadata/prefix IRI 'fma:fma34285'?
fma_q19,Is 'Cavity of left upper third molar tooth' preferred name 'Cavity of left upper third molar tooth'?
fma_q20,Is 'Suprapalpebral sulcus' non English equivalent 'Sulcus suprapalpebralis'?
fma_q21,Is 'Medial external iliac lymph node group' synonym 'Set of medial external iliac lymph nodes'?
fma_q22,Is 'Right juxtarestiform body' http://data.bioontology.org/metadata/prefix IRI 'fma:fma73827'?
fma_q23,Is 'Right dilatator pupillae' preferred name 'Right dilatator pupillae'?
fma_q24,Is 'Crown pulp of left lateral lower incisor tooth' FMAID '55783'?
fma_q25,Is 'Proximal phalanx of second toe' Obsolete 'False'?
fma_q26,Is 'Anterior horizontal limb of lateral sulcus' Synonyms 'Anterior horizontal limb of lateral fissure'?
fma_q27,Is 'Bone tissue of sesamoid bone of foot' Obsolete 'False'?
fma_q28,Is 'Trunk of right lateral tarsal artery' Obsolete 'False'?
fma_q29,Is 'Cystic lymph node' non English equivalent 'Nodus cysticus'?
fma_q30,Is 'Anterior bronchopulmonary subsegment' http://data.bioontology.org/metadata/prefix IRI 'fma:fma69095'?
fma_q31,Is 'Set of intestinal glands of small intestine' http://data.bioontology.org/metadata/prefix IRI 'fma:fma71621'?
fma_q32,Is 'Surface of axilla' synonym 'Axillary surface'?
fma_q33,Is 'Trunk of branch of left anterior choroidal artery to optic tract' Obsolete 'False'?
fma_q34,Is 'Cartilage of inferior surface of body of fourth cervical vertebra' Obsolete 'False'?
fma_q35,"Is 'Pharyngotympanic tube' Definitions 'Old definition: Organ with organ cavity which connects the cavity of the middle ear to the cavity of the pharynx. Examples: There are only two pharyngotympanic tubes, the right and the left pharyngotympanic tubes.'?"
fma_q36,Is 'Tendon of palmaris longus' Synonyms 'Tendon of palmaris longus muscle'?
fma_q37,Is 'Posterolateral fissure of cerebellum' synonym 'Prenodular sulcus'?
fma_q38,Is 'Trunk of petrous part of internal carotid artery' preferred name 'Trunk of petrous part of internal carotid artery'?
fma_q39,Is 'Lunule of cusp of aortic valve' Synonyms 'Lunule of aortic valvular cusp'?
fma_q40,Is 'Endosteum of fourth thoracic vertebra' Obsolete 'False'?
fma_q41,Is 'Wall of posterior ramus of anterior segmental bronchus' http://data.bioontology.org/metadata/prefix IRI 'fma:fma87244'?
fma_q42,Is 'Fascia of fibularis brevis' synonym 'Fibularis brevis fascia'?
fma_q43,Is 'Wall of left anterior segmental bronchus' preferred name 'Wall of left anterior segmental bronchus'?
fma_q44,Is 'Wall of trunk of medial basal segmental artery' http://data.bioontology.org/metadata/prefix IRI 'fma:fma262587'?
fma_q45,Is 'Anterodorsal nucleus' non English equivalent 'Nucleus anterior dorsalis'?
fma_q46,Is 'Trabecular bone of right transverse process of third lumbar vertebra' preferred name 'Trabecular bone of right transverse process of third lumbar vertebra'?
fma_q47,Is 'Maxillary nerve' synonym 'Nervus maxillaris (Vb; V2)'?
fma_q48,Is 'Axillary nerve component of trunk proper of anterior ramus of right fifth cervical nerve' http://data.bioontology.org/metadata/prefix IRI 'fma:fma307208'?
fma_q49,Is 'Left inframammary crease' FMAID '55267'?
fma_q50,Is 'Muscular branch of hypoglossal nerve' http://data.bioontology.org/metadata/prefix IRI 'fma:fma54401'?
fma_q51,Is 'Bony part of diaphysis of distal phalanx of left index finger' synonym 'fma:fma235431'?
fma_q52,Is 'Trunk of medial tributary of dorsal tributary of right eighth posterior intercostal vein' FMAID 'Central segment of left sixth thoracic spinal nerve'?
