id,question,answer
pleiades_q1,Is 'Barnsley Park' a type of 'Aloustou Phrourion'?,No
pleiades_q2,Is 'Baebiana' a type of 'Ourzan'?,No
pleiades_q3,Is 'Assur Archive 37' a type of 'Driel-Baarskamp'?,No
pleiades_q4,Is 'Ambracia' a type of 'Cappadocia Gate at Kerkenes'?,No
pleiades_q5,Is 'Bamaccor(...)' a type of 'Vittorito'?,No
pleiades_q6,Is 'Eleutherna Bridge' a type of 'Ashamba 3'?,No
pleiades_q7,Is 'Circus Maximus Mithraeum' a type of 'Auridai'?,No
pleiades_q8,Is 'Tolous' a type of 'Fulfinium/Fertinium'?,No
pleiades_q9,Is 'Bustan' a type of 'Chibanes'?,No
pleiades_q10,Is 'Phoenice (region)' a type of 'Arianzos'?,No
pleiades_q11,Is 'Hadrianopolis' a type of 'Artamis? (river)'?,No
pleiades_q12,Is 'Necropolis of Pantalica' a type of 'Lissos (river)'?,No
pleiades_q13,Is 'Gough's Cave' a type of 'Veneris Iugum'?,No
pleiades_q14,Is 'Katassou' a type of 'Metita'?,No
pleiades_q15,"Is 'Torre d'Ischia, Vejano' a type of 'Therma'?",No
pleiades_q16,"Is 'Tomb of Lucius Publicius Syneros, Aebia Fausta, Lucius Aebius Aristo and Aebia Hilara' a type of 'Midicca?'?",No
pleiades_q17,Is 'Orniaci' a type of 'Epiakon (Epiacum)'?,No
pleiades_q18,Is 'San Paolo alla Regola' a type of 'Tell al-Baye'a'?,No
pleiades_q19,Is 'Fuweileh el-Gharbiyeh' a type of 'Piazza d'Armi'?,No
pleiades_q20,Is 'Solymnia' a type of 'Brachaud Roman Villa'?,No
pleiades_q21,Is 'Bel Poggio' a type of 'Lancienses Transcudani'?,No
pleiades_q22,"Is 'Mistelbach an der Zaya' a type of 'Robigo?, T.'?",No
pleiades_q23,"Is 'Temple of Jupiter?, Via Appia' a type of 'Fanum Pithiviers-le-Vieil'?",No
pleiades_q24,Is 'Sambracena/Sambrachate' a type of 'Yukarı Anzaf'?,No
pleiades_q25,Is 'Qaqun' a type of 'Kirra'?,No
pleiades_q26,Is 'Izlaz' a type of 'Forum granary'?,No
pleiades_q27,Is 'Birdhope Camps' a type of 'Pyrrou Charax'?,No
pleiades_q28,Is 'Tasopeion' a type of 'Chervony Mayak'?,No
pleiades_q29,Is 'Vîrciorova' a type of 'Alpes (mountains)'?,No
pleiades_q30,Is 'Casale Vignale necropolis' a type of 'Montegiordano'?,No
pleiades_q31,Is 'Illyrikon' a type of 'Chersonesos'?,No
pleiades_q32,Is 'Bir Madkhur' a type of 'Thagaste'?,No
pleiades_q33,Is 'er Rmel' a type of 'Metallum Vipascense'?,No
pleiades_q34,Is 'La Salata necropolis' a type of 'Pyrgouthi'?,No
pleiades_q35,Is 'Vari' a type of 'Anactorium'?,No
pleiades_q36,Is 'Pyron Pedion' a type of 'Vanesia'?,No
pleiades_q37,Is 'Scingomagus' a type of 'Algorós'?,No
pleiades_q38,Is 'Karivalamvandanallur' a type of 'Succorum Angustiae'?,No
pleiades_q39,Is 'Myskhako 2' a type of 'Hochdorf'?,No
pleiades_q40,Is 'Fulginiae' a type of 'Pompeiacum/Vernemetis'?,No
pleiades_q41,Is 'Monsanto' a type of 'Pedonia'?,No
pleiades_q42,Is 'Forum of Mactaris' a type of 'Sarapionos Chairemonos'?,No
pleiades_q43,Is 'Donatım' a type of 'Belikov'?,No
pleiades_q44,Is 'Basa' a type of 'Taurinou'?,No
pleiades_q45,Is 'Turonium' a type of 'Oppidum de Sermuz'?,No
pleiades_q46,Is 'Sost' a type of 'Aphaniou'?,No
pleiades_q47,Is 'Agudo' a type of 'el Qasr'?,No
pleiades_q48,Is 'Boukephala? Pr.' a type of 'Barburgh Mill Roman fortlet'?,No
pleiades_q49,Is 'Sakala' a type of 'Pserimos (island)'?,No
pleiades_q50,Is '‘Danova’' a type of 'Lake'?,No
