id,question
rxnorm_q1,Is 'Chemical Viewed Structurally' a type of 'Entity'?
rxnorm_q2,"Is 'Amino Acid, Peptide, or Protein' a type of 'Physical Object'?"
rxnorm_q3,Is 'Cell or Molecular Dysfunction' a type of 'Event'?
rxnorm_q4,Is 'Cell or Molecular Dysfunction' a type of 'Event'?
rxnorm_q5,Is 'Vertebrate' a type of 'Entity'?
rxnorm_q6,Is 'Chemical Viewed Functionally' a type of 'Entity'?
rxnorm_q7,Is 'Bird' a type of 'Physical Object'?
rxnorm_q8,Is 'Reptile' a type of 'Organism'?
rxnorm_q9,Is 'Drug Delivery Device' a type of 'Entity'?
rxnorm_q10,Is 'Plant' a type of 'Entity'?
rxnorm_q11,Is 'Neoplastic Process' a type of 'Phenomenon or Process'?
rxnorm_q12,Is 'Pharmacologic Substance' a type of 'Physical Object'?
rxnorm_q13,Is 'Tissue' a type of 'Entity'?
rxnorm_q14,Is 'Acquired Abnormality' a type of 'Entity'?
rxnorm_q15,Is 'Cell or Molecular Dysfunction' a type of 'Phenomenon or Process'?
rxnorm_q16,"Is 'Element, Ion, or Isotope' a type of 'Entity'?"
rxnorm_q17,Is 'Organism Function' a type of 'Event'?
rxnorm_q18,Is 'Pharmacologic Substance' a type of 'Entity'?
rxnorm_q19,Is 'Neoplastic Process' a type of 'Natural Phenomenon or Process'?
rxnorm_q20,Is 'Immunologic Factor' a type of 'Substance'?
rxnorm_q21,Is 'Reptile' a type of 'Physical Object'?
rxnorm_q22,Is 'Genetic Function' a type of 'Phenomenon or Process'?
rxnorm_q23,Is 'Laboratory Procedure' a type of 'Event'?
rxnorm_q24,Is 'Biomedical or Dental Material' a type of 'Entity'?
rxnorm_q25,Is 'Bird' a type of 'Physical Object'?
rxnorm_q26,Is 'Gene or Genome' a type of 'Entity'?
rxnorm_q27,Is 'Reptile' a type of 'Entity'?
rxnorm_q28,Is 'Mammal' a type of 'Entity'?
rxnorm_q29,Is 'Cell or Molecular Dysfunction' a type of 'Phenomenon or Process'?
rxnorm_q30,Is 'Neoplastic Process' a type of 'Event'?
rxnorm_q31,Is 'Fish' a type of 'Entity'?
rxnorm_q32,Is 'Body System' a type of 'Entity'?
rxnorm_q33,Is 'Mental Process' a type of 'Event'?
rxnorm_q34,Is 'Reptile' a type of 'Physical Object'?
rxnorm_q35,Is 'Reptile' a type of 'Physical Object'?
rxnorm_q36,Is 'Animal' a type of 'Entity'?
rxnorm_q37,Is 'Organism Function' a type of 'Phenomenon or Process'?
rxnorm_q38,Is 'Geographic Area' a type of 'Entity'?
rxnorm_q39,"Is 'Indicator, Reagent, or Diagnostic Aid' a type of 'Entity'?"
rxnorm_q40,Is 'Tissue' a type of 'Entity'?
rxnorm_q41,Is 'Animal' a type of 'Entity'?
rxnorm_q42,Is 'Pharmacologic Substance' a type of 'Physical Object'?
rxnorm_q43,"Is 'Indicator, Reagent, or Diagnostic Aid' a type of 'Physical Object'?"
rxnorm_q44,Is 'Vitamin' a type of 'Physical Object'?
rxnorm_q45,Is 'Fish' a type of 'Physical Object'?
rxnorm_q46,Is 'Laboratory Procedure' a type of 'Event'?
rxnorm_q47,"Is 'Nucleic Acid, Nucleoside, or Nucleotide' a type of 'Entity'?"
rxnorm_q48,Is 'Organism Function' a type of 'Phenomenon or Process'?
rxnorm_q49,"Is 'Nucleic Acid, Nucleoside, or Nucleotide' a type of 'Entity'?"
rxnorm_q50,Is 'Cell or Molecular Dysfunction' a type of 'Phenomenon or Process'?
rxnorm_q51,Is 'Molecular Function' a type of 'Medical Device'?
rxnorm_q52,"Is 'Occupation or Discipline' a type of 'Element, Ion, or Isotope'?"
rxnorm_q53,Is 'Quantitative Concept' a type of 'Disease or Syndrome'?
rxnorm_q54,Is 'Organ or Tissue Function' a type of 'Cell'?
rxnorm_q55,Is 'Qualitative Concept' a type of 'Cell'?
rxnorm_q56,Is 'Chemical' a type of 'Body Space or Junction'?
rxnorm_q57,Is 'Classification' a type of 'Bacterium'?
rxnorm_q58,Is 'Drug Delivery Device' a type of 'Eukaryote'?
rxnorm_q59,Is 'Pharmacologic Substance' a type of 'Animal'?
rxnorm_q60,Is 'Mammal' a type of 'Cell'?
rxnorm_q61,Is 'Geographic Area' a type of 'Mental or Behavioral Dysfunction'?
rxnorm_q62,Is 'Event' a type of 'Physical Object'?
rxnorm_q63,Is 'Biomedical Occupation or Discipline' a type of 'Health Care Related Organization'?
