id,answer
rxnorm_q1,yes
rxnorm_q2,yes
rxnorm_q3,yes
rxnorm_q4,yes
rxnorm_q5,yes
rxnorm_q6,yes
rxnorm_q7,yes
rxnorm_q8,yes
rxnorm_q9,yes
rxnorm_q10,yes
rxnorm_q11,yes
rxnorm_q12,yes
rxnorm_q13,yes
rxnorm_q14,yes
rxnorm_q15,yes
rxnorm_q16,yes
rxnorm_q17,yes
rxnorm_q18,yes
rxnorm_q19,yes
rxnorm_q20,yes
rxnorm_q21,yes
rxnorm_q22,yes
rxnorm_q23,yes
rxnorm_q24,yes
rxnorm_q25,yes
rxnorm_q26,yes
rxnorm_q27,yes
rxnorm_q28,yes
rxnorm_q29,yes
rxnorm_q30,yes
rxnorm_q31,yes
rxnorm_q32,yes
rxnorm_q33,yes
rxnorm_q34,yes
rxnorm_q35,yes
rxnorm_q36,yes
rxnorm_q37,yes
rxnorm_q38,yes
rxnorm_q39,yes
rxnorm_q40,yes
rxnorm_q41,yes
rxnorm_q42,yes
rxnorm_q43,yes
rxnorm_q44,yes
rxnorm_q45,yes
rxnorm_q46,yes
rxnorm_q47,yes
rxnorm_q48,yes
rxnorm_q49,yes
rxnorm_q50,yes
rxnorm_q51,no
rxnorm_q52,no
rxnorm_q53,no
rxnorm_q54,no
rxnorm_q55,no
rxnorm_q56,no
rxnorm_q57,no
rxnorm_q58,no
rxnorm_q59,no
rxnorm_q60,no
rxnorm_q61,no
rxnorm_q62,no
rxnorm_q63,no
rxnorm_q64,no
rxnorm_q65,no
rxnorm_q66,no
rxnorm_q67,no
rxnorm_q68,no
rxnorm_q69,no
rxnorm_q70,no
rxnorm_q71,no
rxnorm_q72,no
rxnorm_q73,no
rxnorm_q74,no
rxnorm_q75,no
rxnorm_q76,no
rxnorm_q77,no
rxnorm_q78,no
rxnorm_q79,no
rxnorm_q80,no
rxnorm_q81,no
rxnorm_q82,no
rxnorm_q83,no
rxnorm_q84,no
rxnorm_q85,no
rxnorm_q86,no
rxnorm_q87,no
rxnorm_q88,no
rxnorm_q89,no
rxnorm_q90,no
rxnorm_q91,no
rxnorm_q92,no
rxnorm_q93,no
rxnorm_q94,no
rxnorm_q95,no
rxnorm_q96,no
rxnorm_q97,no
rxnorm_q98,no
rxnorm_q99,no
rxnorm_q100,no
