id,question
fma_q1,Is 'Internal surface of fourth rib' a type of 'Internal surface of rib'?
fma_q2,Is 'Trabecular bone of right inferior articular process of sixth thoracic vertebra' a type of 'Trabecular bone of inferior articular process of sixth thoracic vertebra'?
fma_q3,Is 'Wall of trunk of subclavian artery' a type of 'Wall of trunk of artery'?
fma_q4,Is 'Trunk of tributary of pre-hepatic portal vein' a type of 'Trunk of portal vein'?
fma_q5,Is 'Gluteus minimus part of right superior gluteal artery' a type of 'Gluteus minimus part of superior gluteal artery'?
fma_q6,Is 'Left deep transverse perineal muscle' a type of 'Deep transverse perineal muscle'?
fma_q7,Is 'Suprascapular nerve component of superior trunk segment of sixth cervical nerve' a type of 'Segment of C6 root of suprascapular nerve'?
fma_q8,Is 'Proximal phalanx of little toe' a type of 'Phalanx of little toe'?
fma_q9,Is 'Left posterolateral part of body of first sacral segment' a type of 'Posterolateral part of body of first sacral segment'?
fma_q10,Is 'Left polar temporal artery' a type of 'Polar temporal artery'?
fma_q11,Is 'Trunk of left first cervical nerve' a type of 'Trunk of first cervical nerve'?
fma_q12,Is 'Annulate lamella cistern' a type of 'Region of cell component'?
fma_q13,Is 'Interdigital space of hand' a type of 'Interdigital space'?
fma_q14,Is 'Set of accessory nerves' a type of 'Set of nerves'?
fma_q15,Is 'Articular facet of tubercle of sixth rib' a type of 'Articular facet of tubercle of rib'?
fma_q16,Is 'Compact bone of distal epiphysis of right humerus' a type of 'Compact bone of distal epiphysis of humerus'?
fma_q17,Is 'Apical part of left coracoid process' a type of 'Apical part of coracoid process'?
fma_q18,Is 'Trunk of right ovarian vein' a type of 'Trunk of ovarian vein'?
fma_q19,Is 'Set of anterolateral central arteries' a type of 'Set of arteries'?
fma_q20,Is 'Epithelium of duct of right epididymis' a type of 'Epithelium of duct of epididymis'?
fma_q21,Is 'Orbital part of left lacrimal bone' a type of 'Orbital part of lacrimal bone'?
fma_q22,Is 'Anterior branch of posteromedial central branch of left posterior communicating artery' a type of 'Anterior branch of posteromedial central branch of posterior communicating artery'?
fma_q23,Is 'Fourth thoracic spinal nerve nucleus of right ventral column' a type of 'Fourth thoracic spinal nerve nucleus of ventral column'?
fma_q24,Is 'Surface of pedicle of eleventh thoracic vertebra' a type of 'Surface of pedicle of thoracic vertebra'?
fma_q25,Is 'Articular capsule of right distal radio-ulnar joint' a type of 'Articular capsule of distal radio-ulnar joint'?
fma_q26,Is 'Trunk of right circumflex humeral artery' a type of 'Trunk of circumflex humeral artery (variant)'?
fma_q27,Is 'C6 segment of ventral gray column of spinal cord' a type of 'Cervical subsegment of ventral gray column of spinal cord'?
fma_q28,Is 'Compact bone of distal epiphysis of second metacarpal bone' a type of 'Compact bone of distal epiphysis of metacarpal bone'?
fma_q29,Is 'Compact bone of left seventh thoracic vertebra' a type of 'Compact bone of seventh thoracic vertebra'?
fma_q30,Is 'Eyelash of lower eyelid' a type of 'Eyelash'?
fma_q31,Is 'Right mylohyoid groove' a type of 'Mylohyoid groove'?
fma_q32,Is 'Transverse temporal sulcus' a type of 'Subarachnoid sulcus'?
fma_q33,Is 'Left lateral medial intermuscular septum' a type of 'Lateral medial intermuscular septum'?
