id,answer
fma_q1,yes
fma_q2,yes
fma_q3,yes
fma_q4,yes
fma_q5,yes
fma_q6,yes
fma_q7,yes
fma_q8,yes
fma_q9,yes
fma_q10,yes
fma_q11,yes
fma_q12,yes
fma_q13,yes
fma_q14,yes
fma_q15,yes
fma_q16,yes
fma_q17,yes
fma_q18,yes
fma_q19,yes
fma_q20,yes
fma_q21,yes
fma_q22,yes
fma_q23,yes
fma_q24,yes
fma_q25,yes
fma_q26,yes
fma_q27,yes
fma_q28,yes
fma_q29,yes
fma_q30,yes
fma_q31,yes
fma_q32,yes
fma_q33,yes
fma_q34,yes
fma_q35,yes
fma_q36,yes
fma_q37,yes
fma_q38,yes
fma_q39,yes
fma_q40,yes
fma_q41,yes
fma_q42,yes
fma_q43,yes
fma_q44,yes
fma_q45,yes
fma_q46,yes
fma_q47,yes
fma_q48,yes
fma_q49,yes
fma_q50,yes
fma_q51,no
fma_q52,no
fma_q53,no
fma_q54,no
fma_q55,no
fma_q56,no
fma_q57,no
fma_q58,no
fma_q59,no
fma_q60,no
fma_q61,no
fma_q62,no
fma_q63,no
fma_q64,no
fma_q65,no
fma_q66,no
fma_q67,no
fma_q68,no
fma_q69,no
fma_q70,no
fma_q71,no
fma_q72,no
fma_q73,no
fma_q74,no
fma_q75,no
fma_q76,no
fma_q77,no
fma_q78,no
fma_q79,no
fma_q80,no
fma_q81,no
fma_q82,no
fma_q83,no
fma_q84,no
fma_q85,no
fma_q86,no
fma_q87,no
fma_q88,no
fma_q89,no
fma_q90,no
fma_q91,no
fma_q92,no
fma_q93,no
fma_q94,no
fma_q95,no
fma_q96,no
fma_q97,no
fma_q98,no
fma_q99,no
fma_q100,no
