id,answer
fma_q1,yes
fma_q2,yes
fma_q3,yes
fma_q4,yes
fma_q5,yes
fma_q6,yes
fma_q7,yes
fma_q8,yes
fma_q9,yes
fma_q10,yes
fma_q11,yes
fma_q12,yes
fma_q13,yes
fma_q14,yes
fma_q15,yes
fma_q16,yes
fma_q17,yes
fma_q18,yes
fma_q19,yes
fma_q20,yes
fma_q21,yes
fma_q22,yes
fma_q23,yes
fma_q24,yes
fma_q25,yes
fma_q26,yes
fma_q27,yes
fma_q28,yes
fma_q29,yes
fma_q30,yes
fma_q31,yes
fma_q32,yes
fma_q33,yes
fma_q34,yes
fma_q35,yes
fma_q36,yes
fma_q37,yes
fma_q38,yes
fma_q39,yes
fma_q40,yes
fma_q41,yes
fma_q42,yes
fma_q43,yes
fma_q44,yes
fma_q45,yes
fma_q46,yes
fma_q47,yes
fma_q48,yes
fma_q49,yes
fma_q50,yes
fma_q51,yes
fma_q52,yes
fma_q53,yes
fma_q54,yes
fma_q55,yes
fma_q56,yes
fma_q57,yes
fma_q58,yes
fma_q59,yes
fma_q60,yes
fma_q61,yes
fma_q62,yes
fma_q63,yes
fma_q64,yes
fma_q65,yes
fma_q66,yes
fma_q67,yes
fma_q68,yes
fma_q69,yes
fma_q70,yes
fma_q71,yes
fma_q72,yes
fma_q73,yes
fma_q74,yes
fma_q75,yes
fma_q76,yes
fma_q77,yes
fma_q78,yes
fma_q79,yes
fma_q80,no
fma_q81,yes
fma_q82,yes
fma_q83,yes
fma_q84,yes
fma_q85,yes
fma_q86,yes
fma_q87,yes
fma_q88,yes
fma_q89,yes
fma_q90,yes
fma_q91,yes
fma_q92,yes
fma_q93,yes
fma_q94,yes
fma_q95,yes
fma_q96,yes
fma_q97,yes
fma_q98,yes
fma_q99,yes
fma_q100,yes
